,ACTIVATION_DATE,SUBSCRIPTION_ID,BUNDLE_NAME,REVENUE,PROVINCE,LANGUAGE,Interaction
99176,10/13/2023,3890712064.0,Hourly Bundle 400MB,10.0,GHAZNI,Dari,1
20232,10/6/2023,3890791008.0,Hourly 50 Onnet Min,10.0,BALKH,Dari,1
6874,10/16/2023,3890804366.0,Monthly 20GB for 999AFN,999.0,NANGARHAR,Pashto,1
34107,10/14/2023,3890777133.0,Daily 200MB Data Bundle,60.0,KABUL,Dari,1
84990,10/3/2023,3890726250.0,Monthly 550 Min,135.0,KABUL,Dari,1
22222,10/17/2023,3890789018.0,Hourly Bundle 400MB,10.0,PAKTIA,Dari,1
82443,10/16/2023,3890728797.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
69382,10/7/2023,3890741858.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
22669,10/24/2023,3890788571.0,Monthly 20GB for 999AFN,999.0,KABUL,Pashto,1
97759,10/16/2023,3890713481.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
12169,10/17/2023,3890799071.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
61638,10/31/2023,3890749602.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
15644,10/12/2023,3890795596.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
25238,10/14/2023,3890786002.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
30662,10/24/2023,3890780578.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
83877,10/24/2023,3890727363.0,Monthly 1000 Min for 200 Afs Subs,200.0,PARWAN,Dari,1
24101,10/19/2023,3890787139.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
7976,10/17/2023,3890803264.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
9307,10/21/2023,3890801933.0,Daily 200MB Data Bundle,15.0,HELMAND,Pashto,1
69827,10/5/2023,3890741413.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
72445,10/14/2023,3890738795.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
73885,10/9/2023,3890737355.0,Daily 200MB Data Bundle,15.0,GHOR,Dari,1
27631,10/11/2023,3890783609.0,Daily 200MB Data Bundle,15.0,PARWAN,Dari,1
45222,10/22/2023,3890766018.0,Hourly Bundle 400MB,10.0,KABUL,English,1
26963,10/5/2023,3890784277.0,Hourly Bundle 400MB,10.0,LAGHMAN,Pashto,1
69388,10/6/2023,3890741852.0,Daily 200MB Data Bundle,15.0,KONDUZ,Dari,1
25377,10/25/2023,3890785863.0,Daily 200MB Data Bundle,15.0,JOZJAN,Dari,1
85065,10/6/2023,3890726175.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
53711,10/3/2023,3890757529.0,Monthly 20GB for 999AFN,999.0,KABUL,Dari,1
74482,10/7/2023,3890736758.0,Hourly Bundle 400MB,20.0,TAKHAR,Dari,1
11972,10/3/2023,3890799268.0,Daily 200MB Data Bundle,15.0,HELMAND,Pashto,1
48614,10/29/2023,3890762626.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
13700,10/18/2023,3890797540.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
42596,10/6/2023,3890768644.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
66744,10/5/2023,3890744496.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
62176,10/3/2023,3890749064.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
47462,10/20/2023,3890763778.0,Daily 200MB Data Bundle,30.0,KABUL,English,1
57389,10/16/2023,3890753851.0,Daily 200MB Data Bundle,45.0,KABUL,Dari,1
65363,10/9/2023,3890745877.0,Daily 200MB Data Bundle,30.0,KABUL,Pashto,1
57654,10/7/2023,3890753586.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
7474,10/25/2023,3890803766.0,Daily 200MB Data Bundle,15.0,FARYAB,Dari,1
1348,10/29/2023,3890809892.0,Daily 200MB Data Bundle,15.0,KUNAR,Pashto,1
53496,10/26/2023,3890757744.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
6267,10/20/2023,3890804973.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
39459,10/21/2023,3890771781.0,Hourly Bundle 400MB,10.0,LAGHMAN,Pashto,1
52963,10/3/2023,3890758277.0,Monthly 550 Min,148.5,KABUL,Dari,1
69961,10/21/2023,3890741279.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
7342,10/12/2023,3890803898.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
37444,10/27/2023,3890773796.0,Hourly Bundle 400MB,10.0,NANGARHAR,Dari,1
77249,10/30/2023,3890733991.0,Daily 200MB Data Bundle,15.0,FARYAB,Dari,1
65314,10/29/2023,3890745926.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
76957,10/1/2023,3890734283.0,Monthly 20GB for 999AFN,999.0,KABUL,Dari,1
45993,10/14/2023,3890765247.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
814,10/1/2023,3890810426.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
6088,10/19/2023,3890805152.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
21243,10/17/2023,3890789997.0,Daily 200MB Data Bundle,15.0,FARYAB,Dari,1
47722,10/15/2023,3890763518.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
4219,10/26/2023,3890807021.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
86266,10/7/2023,3890724974.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
89001,10/4/2023,3890722239.0,Daily 200MB Data Bundle,60.0,BALKH,Dari,1
37890,10/19/2023,3890773350.0,Hourly Bundle 400MB,10.0,JOZJAN,Dari,1
10350,10/27/2023,3890800890.0,Daily 200MB Data Bundle,30.0,LOGAR,Pashto,1
47362,10/29/2023,3890763878.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
23689,10/4/2023,3890787551.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
18926,10/23/2023,3890792314.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
46847,10/12/2023,3890764393.0,Daily 200MB Data Bundle,15.0,PARWAN,Dari,1
91355,10/8/2023,3890719885.0,Hourly Bundle 400MB,50.0,KAPISA,Dari,1
58140,10/21/2023,3890753100.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
7188,10/13/2023,3890804052.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
2306,10/27/2023,3890808934.0,Monthly 550 Min,135.0,KABUL,Dari,1
38888,10/20/2023,3890772352.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
24212,10/11/2023,3890787028.0,Monthly 550 Min,135.0,NANGARHAR,Pashto,1
42241,10/15/2023,3890768999.0,Monthly 550 Min,135.0,KABUL,Dari,1
88315,10/18/2023,3890722925.0,Hourly Bundle 400MB,30.0,HERAT,Dari,1
87646,10/12/2023,3890723594.0,Hourly Bundle 400MB,10.0,PARWAN,Pashto,1
14194,10/19/2023,3890797046.0,Daily 200MB Data Bundle,15.0,KONDUZ,Dari,1
93282,10/18/2023,3890717958.0,Daily 200MB Data Bundle,15.0,FARYAB,Dari,1
9617,10/17/2023,3890801623.0,Monthly 550 Min,135.0,JOZJAN,Dari,1
32907,10/6/2023,3890778333.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
70083,10/24/2023,3890741157.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
55975,10/30/2023,3890755265.0,Hourly Bundle 400MB,30.0,HERAT,English,1
68282,10/20/2023,3890742958.0,Monthly 550 Min,135.0,KABUL,Dari,1
68834,10/28/2023,3890742406.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
49114,10/10/2023,3890762126.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
47166,10/27/2023,3890764074.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
86576,10/23/2023,3890724664.0,Hourly Bundle 400MB,10.0,KHOST,Pashto,1
38164,10/30/2023,3890773076.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
80106,10/24/2023,3890731134.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
67377,10/2/2023,3890743863.0,Hourly Bundle 400MB,30.0,KHOST,Dari,1
24934,10/7/2023,3890786306.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
75949,10/11/2023,3890735291.0,Hourly Bundle 400MB,70.0,KABUL,Pashto,1
84903,10/7/2023,3890726337.0,Hourly Bundle 400MB,20.0,BALKH,Dari,1
87022,10/16/2023,3890724218.0,Daily 200MB Data Bundle,15.0,BADGHIS,Dari,1
58451,10/7/2023,3890752789.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
98489,10/10/2023,3890712751.0,Daily 200MB Data Bundle,15.0,KHOST,Pashto,1
32588,10/29/2023,3890778652.0,Hourly Bundle 400MB,10.0,TAKHAR,Dari,1
80597,10/1/2023,3890730643.0,Daily 200MB Data Bundle,45.0,KABUL,Pashto,1
33434,10/20/2023,3890777806.0,Hourly Bundle 400MB,10.0,QANDAHAR,Pashto,1
62591,10/30/2023,3890748649.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
72547,10/20/2023,3890738693.0,Daily 200MB Data Bundle,30.0,GHOR,Dari,1
82175,10/23/2023,3890729065.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
18765,10/10/2023,3890792475.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
59283,10/20/2023,3890751957.0,Daily 200MB Data Bundle,30.0,HERAT,Dari,1
68915,10/16/2023,3890742325.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
48188,10/17/2023,3890763052.0,Hourly Bundle 400MB,10.0,BALKH,Dari,1
55514,10/6/2023,3890755726.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
90579,10/31/2023,3890720661.0,Hourly Bundle 400MB,10.0,KONDUZ,Dari,1
24983,10/17/2023,3890786257.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
56555,10/1/2023,3890754685.0,Monthly 550 Min,120.0,JOZJAN,Dari,1
72157,10/14/2023,3890739083.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
51942,10/17/2023,3890759298.0,Monthly 550 Min,135.0,KABUL,Dari,1
90292,10/1/2023,3890720948.0,Daily 200MB Data Bundle,45.0,NANGARHAR,Dari,1
23555,10/9/2023,3890787685.0,Daily 200MB Data Bundle,30.0,WARDAK,Pashto,1
6164,10/10/2023,3890805076.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
93407,10/2/2023,3890717833.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
31360,10/5/2023,3890779880.0,Daily 200MB Data Bundle,15.0,FARAH,Dari,1
55300,10/9/2023,3890755940.0,Hourly Bundle 400MB,11.0,KABUL,Pashto,1
58690,10/5/2023,3890752550.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
68157,10/28/2023,3890743083.0,Hourly 50 Onnet Min,10.0,BALKH,Dari,1
44125,10/2/2023,3890767115.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
60656,10/4/2023,3890750584.0,Hourly Bundle 400MB,20.0,KABUL,English,1
12068,10/20/2023,3890799172.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
76905,10/19/2023,3890734335.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
3682,10/24/2023,3890807558.0,Hourly Bundle 400MB,10.0,PARWAN,Dari,1
9017,10/29/2023,3890802223.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
26080,10/8/2023,3890785160.0,Daily 200MB Data Bundle,30.0,BALKH,Dari,1
20123,10/29/2023,3890791117.0,Hourly Bundle 400MB,10.0,LAGHMAN,Dari,1
8261,10/28/2023,3890802979.0,Daily 200MB Data Bundle,15.0,TAKHAR,Dari,1
49319,10/28/2023,3890761921.0,Hourly 50 Onnet Min,10.0,KABUL,Dari,1
34013,10/12/2023,3890777227.0,Daily 200MB Data Bundle,15.0,PARWAN,Dari,1
88107,10/22/2023,3890723133.0,Daily 200MB Data Bundle,15.0,FARYAB,Dari,1
32176,10/18/2023,3890779064.0,Monthly 550 Min,135.0,JOZJAN,Pashto,1
47669,10/25/2023,3890763571.0,Hourly Bundle 400MB,20.0,BALKH,Dari,1
58104,10/28/2023,3890753136.0,Monthly 550 Min,135.0,NANGARHAR,Pashto,1
65937,10/11/2023,3890745303.0,Daily 200MB Data Bundle,15.0,PAKTIA,Dari,1
15521,10/26/2023,3890795719.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
87753,10/24/2023,3890723487.0,Daily 200MB Data Bundle,15.0,FARAH,Dari,1
98562,10/25/2023,3890712678.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
32754,10/6/2023,3890778486.0,Monthly 2.5GB Special Offer,250.0,HERAT,Dari,1
2462,10/18/2023,3890808778.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
82546,10/18/2023,3890728694.0,Daily 200MB Data Bundle,15.0,JOZJAN,Dari,1
3442,10/29/2023,3890807798.0,Hourly Bundle 400MB,10.0,BALKH,Dari,1
29613,10/18/2023,3890781627.0,Hourly Bundle 400MB,20.0,NANGARHAR,Pashto,1
15640,10/15/2023,3890795600.0,Daily 200MB Data Bundle,15.0,NIMROZ,Dari,1
44209,10/31/2023,3890767031.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
1456,10/14/2023,3890809784.0,Daily 200MB Data Bundle,30.0,KABUL,Pashto,1
82411,10/11/2023,3890728829.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
36641,10/11/2023,3890774599.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
31915,10/29/2023,3890779325.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
63090,10/22/2023,3890748150.0,Hourly Bundle 400MB,20.0,TAKHAR,Pashto,1
70964,10/28/2023,3890740276.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
76099,10/29/2023,3890735141.0,Hourly Bundle 400MB,30.0,PAKTIA,Dari,1
63302,10/2/2023,3890747938.0,Daily 200MB Data Bundle,15.0,LAGHMAN,Dari,1
65994,10/30/2023,3890745246.0,Hourly Bundle 400MB,20.0,BALKH,Dari,1
14548,10/11/2023,3890796692.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
69475,10/12/2023,3890741765.0,Hourly Bundle 400MB,10.0,LAGHMAN,Pashto,1
29370,10/18/2023,3890781870.0,Hourly Bundle 400MB,10.0,NIMROZ,Dari,1
72263,10/19/2023,3890738977.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
78031,10/7/2023,3890733209.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
22151,10/10/2023,3890789089.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
56603,10/20/2023,3890754637.0,Hourly Bundle 400MB,10.0,PARWAN,Dari,1
84945,10/2/2023,3890726295.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
75082,10/8/2023,3890736158.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
1754,10/15/2023,3890809486.0,Hourly Bundle 400MB,20.0,BAGHLAN,Pashto,1
97254,10/18/2023,3890713986.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
54690,10/30/2023,3890756550.0,Hourly Bundle 400MB,10.0,SAR-E-POL,Dari,1
24801,10/8/2023,3890786439.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
1600,10/25/2023,3890809640.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
40146,10/23/2023,3890771094.0,Hourly Bundle 400MB,10.0,BALKH,Dari,1
49832,10/30/2023,3890761408.0,Hourly Bundle 400MB,10.0,KONDUZ,Pashto,1
90692,10/28/2023,3890720548.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
48270,10/27/2023,3890762970.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
22859,10/24/2023,3890788381.0,Daily 200MB Data Bundle,15.0,HERAT,Dari,1
15964,10/26/2023,3890795276.0,Hourly Bundle 400MB,10.0,HERAT,Dari,1
80535,10/18/2023,3890730705.0,Monthly 20GB for 999AFN,999.0,KABUL,Dari,1
42483,10/17/2023,3890768757.0,Daily 200MB Data Bundle,15.0,HERAT,Dari,1
57973,10/13/2023,3890753267.0,Hourly Bundle 400MB,10.0,NANGARHAR,Dari,1
30791,10/5/2023,3890780449.0,Daily 200MB Data Bundle,15.0,KABUL,English,1
20896,10/24/2023,3890790344.0,Daily 200MB Data Bundle,30.0,BALKH,Dari,1
65952,10/8/2023,3890745288.0,Daily 200MB Data Bundle,45.0,KABUL,Dari,1
8777,10/3/2023,3890802463.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
47200,10/5/2023,3890764040.0,Hourly Bundle 400MB,10.0,HERAT,Dari,1
29369,10/12/2023,3890781871.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
51472,10/3/2023,3890759768.0,Hourly Bundle 400MB,10.0,BALKH,Dari,1
94785,10/9/2023,3890716455.0,Daily 200MB Data Bundle,15.0,BAGHLAN,Dari,1
64927,10/30/2023,3890746313.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
99205,10/5/2023,3890712035.0,Hourly Bundle 400MB,10.0,GHAZNI,Pashto,1
46451,10/29/2023,3890764789.0,Hourly 50 Onnet Min,10.0,NANGARHAR,Pashto,1
4671,10/21/2023,3890806569.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
90297,10/9/2023,3890720943.0,Hourly Bundle 400MB,20.0,KABUL,Pashto,1
35047,10/28/2023,3890776193.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
26463,10/11/2023,3890784777.0,Daily 200MB Data Bundle,45.0,KABUL,Dari,1
99136,10/12/2023,3890712104.0,Daily 200MB Data Bundle,30.0,HERAT,Dari,1
9127,10/31/2023,3890802113.0,Hourly Bundle 400MB,50.0,KABUL,Dari,1
93800,10/5/2023,3890717440.0,Daily 200MB Data Bundle,15.0,KABUL,English,1
41026,10/26/2023,3890770214.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
41014,10/8/2023,3890770226.0,Hourly Bundle 400MB,30.0,NANGARHAR,Pashto,1
88887,10/17/2023,3890722353.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
32645,10/7/2023,3890778595.0,Daily 200MB Data Bundle,45.0,KABUL,Dari,1
38880,10/4/2023,3890772360.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
37534,10/25/2023,3890773706.0,Hourly 50 Onnet Min,10.0,KABUL,Dari,1
99348,10/5/2023,3890711892.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
24098,10/27/2023,3890787142.0,Hourly Bundle 400MB,30.0,KABUL,Dari,1
66806,10/5/2023,3890744434.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
4393,10/8/2023,3890806847.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
46685,10/2/2023,3890764555.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
42511,10/23/2023,3890768729.0,Daily 200MB Data Bundle,15.0,TAKHAR,Dari,1
37680,10/15/2023,3890773560.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
42001,10/20/2023,3890769239.0,Hourly 50 Onnet Min,10.0,KABUL,Dari,1
46283,10/13/2023,3890764957.0,Hourly Bundle 400MB,10.0,KABUL,English,1
13115,10/15/2023,3890798125.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
86457,10/18/2023,3890724783.0,Monthly 550 Min,135.0,SAR-E-POL,Dari,1
3596,10/27/2023,3890807644.0,Hourly Bundle 400MB,30.0,TAKHAR,Dari,1
3972,10/27/2023,3890807268.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
43263,10/22/2023,3890767977.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
73368,10/3/2023,3890737872.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
87872,10/30/2023,3890723368.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
45061,10/30/2023,3890766179.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
40193,10/9/2023,3890771047.0,Hourly Bundle 400MB,40.0,NANGARHAR,Pashto,1
77218,10/28/2023,3890734022.0,Hourly Bundle 400MB,10.0,KABUL,English,1
62789,10/23/2023,3890748451.0,Monthly 20GB for 999AFN,999.0,BALKH,Dari,1
23212,10/18/2023,3890788028.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
9515,10/2/2023,3890801725.0,Hourly Bundle 400MB,10.0,GHAZNI,Dari,1
93147,10/8/2023,3890718093.0,Monthly 2.5GB Special Offer,250.0,FARYAB,Dari,1
17063,10/18/2023,3890794177.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
3460,10/17/2023,3890807780.0,Daily 200MB Data Bundle,15.0,JOZJAN,Dari,1
8010,10/17/2023,3890803230.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
94888,10/12/2023,3890716352.0,Hourly Bundle 400MB,30.0,SAR-E-POL,Dari,1
81974,10/19/2023,3890729266.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
61523,10/30/2023,3890749717.0,Daily 200MB Data Bundle,15.0,HERAT,Dari,1
8614,10/13/2023,3890802626.0,Hourly Bundle 400MB,20.0,FARAH,Dari,1
75221,10/21/2023,3890736019.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
33639,10/4/2023,3890777601.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
88307,10/29/2023,3890722933.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
80966,10/28/2023,3890730274.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
8118,10/10/2023,3890803122.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
88989,10/29/2023,3890722251.0,Hourly Bundle 400MB,20.0,QANDAHAR,Dari,1
23965,10/4/2023,3890787275.0,Daily 200MB Data Bundle,15.0,FARAH,Pashto,1
48048,10/31/2023,3890763192.0,Hourly Bundle 400MB,20.0,KABUL,English,1
24401,10/14/2023,3890786839.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Dari,1
57308,10/17/2023,3890753932.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
3279,10/24/2023,3890807961.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
77663,10/11/2023,3890733577.0,Daily 200MB Data Bundle,15.0,HERAT,Dari,1
65510,10/16/2023,3890745730.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
79454,10/30/2023,3890731786.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
68820,10/6/2023,3890742420.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
69284,10/30/2023,3890741956.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
83626,10/5/2023,3890727614.0,Hourly Bundle 400MB,20.0,JOZJAN,Dari,1
28404,10/4/2023,3890782836.0,Daily 200MB Data Bundle,30.0,GHOR,Dari,1
88119,10/2/2023,3890723121.0,Monthly 550 Min,148.5,NANGARHAR,Pashto,1
88962,10/20/2023,3890722278.0,Daily 200MB Data Bundle,15.0,HERAT,Dari,1
94808,10/29/2023,3890716432.0,Monthly 550 Min,135.0,NANGARHAR,Pashto,1
71624,10/18/2023,3890739616.0,Daily 200MB Data Bundle,15.0,BALKH,Dari,1
16260,10/14/2023,3890794980.0,Daily 200MB Data Bundle,15.0,BAGHLAN,Dari,1
8736,10/4/2023,3890802504.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
72467,10/7/2023,3890738773.0,Monthly 550 Min,135.0,JOZJAN,Dari,1
93224,10/26/2023,3890718016.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
98284,10/13/2023,3890712956.0,Hourly Bundle 400MB,10.0,BALKH,Pashto,1
61199,10/27/2023,3890750041.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
88584,10/11/2023,3890722656.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
26345,10/11/2023,3890784895.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
59005,10/5/2023,3890752235.0,Hourly Bundle 400MB,10.0,BAGHLAN,Pashto,1
82519,10/25/2023,3890728721.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
26541,10/13/2023,3890784699.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
54175,10/6/2023,3890757065.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
98934,10/25/2023,3890712306.0,Hourly Bundle 400MB,20.0,QANDAHAR,Dari,1
5241,10/12/2023,3890805999.0,Hourly Bundle 400MB,10.0,SAR-E-POL,Dari,1
42822,10/6/2023,3890768418.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
71001,10/24/2023,3890740239.0,Hourly Bundle 400MB,40.0,PARWAN,Dari,1
12351,10/19/2023,3890798889.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
91078,10/12/2023,3890720162.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
24364,10/31/2023,3890786876.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
10952,10/25/2023,3890800288.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
19508,10/13/2023,3890791732.0,Hourly Bundle 400MB,30.0,QANDAHAR,Pashto,1
64960,10/12/2023,3890746280.0,Daily 200MB Data Bundle,17.0,KABUL,Dari,1
96793,10/2/2023,3890714447.0,Daily 200MB Data Bundle,15.0,SAR-E-POL,Dari,1
91717,10/30/2023,3890719523.0,Daily 200MB Data Bundle,30.0,FARYAB,Dari,1
49163,10/1/2023,3890762077.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
73181,10/29/2023,3890738059.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
36987,10/27/2023,3890774253.0,Daily 200MB Data Bundle,15.0,GHAZNI,Dari,1
55154,10/13/2023,3890756086.0,Hourly Bundle 400MB,40.0,KABUL,Dari,1
8322,10/2/2023,3890802918.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
1888,10/30/2023,3890809352.0,Monthly 20GB for 999AFN,999.0,HERAT,Dari,1
20198,10/13/2023,3890791042.0,Daily 200MB Data Bundle,15.0,LAGHMAN,Pashto,1
46060,10/16/2023,3890765180.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
8031,10/13/2023,3890803209.0,Daily 200MB Data Bundle,60.0,KABUL,Pashto,1
12319,10/14/2023,3890798921.0,Daily 200MB Data Bundle,15.0,WARDAK,Pashto,1
81110,10/2/2023,3890730130.0,Daily 200MB Data Bundle,15.0,BAGHLAN,Dari,1
31821,10/21/2023,3890779419.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
16095,10/26/2023,3890795145.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
88690,10/1/2023,3890722550.0,Daily 200MB Data Bundle,15.0,BALKH,Pashto,1
27583,10/31/2023,3890783657.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
76559,10/12/2023,3890734681.0,Daily 200MB Data Bundle,15.0,BAGHLAN,Dari,1
49189,10/20/2023,3890762051.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
21674,10/29/2023,3890789566.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
8939,10/8/2023,3890802301.0,Hourly Bundle 400MB,20.0,KONDUZ,Dari,1
57132,10/2/2023,3890754108.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
73330,10/21/2023,3890737910.0,Hourly Bundle 400MB,20.0,KABUL,Pashto,1
64150,10/24/2023,3890747090.0,Daily 200MB Data Bundle,15.0,PAKTIA,Pashto,1
